56: "20;58"
57: "20;57"
58: "20;56"
59: "20;55"
60: "20;54"
61: "20;53"
62: "20;52"
63: "19;51"
64: "18;50"
65: "17;49"
66: "16;48"
67: "16;47"
68: "16;46"
69: "16;45"
70: "15;44"
71: "14;43"
72: "14;42"
73: "14;41"
74: "14;40"
75: "14;39"
76: "14;38"
77: "14;37"
78: "14;36"
79: "14;35"
80: "14;34"
81: "14;33"
82: "14;32"
83: "13;31"
84: "13;30"
85: "13;29"
86: "13;28"
87: "13;26"
88: "13;27"
89: "13;25"
90: "13;24"
91: "13;23"
92: "13;22"
93: "13;21"
94: "13;20"
95: "13;19"
96: "13;18"
97: "13;17"
98: "13;16"
99: "13;15"
100: "13;14"
101: "13;13"
102: "13;12"
103: "13;11"
104: "13;10"
105: "13;9"
106: "13;8"
107: "12;7"
108: "11;7"
109: "10;7"
110: "9;7"
111: "8;7"
112: "7;7"
113: "6;7"
