56: "20;58"
57: "20;57"
58: "20;56"
59: "20;55"
60: "20;54"
61: "20;53"
62: "20;52"
63: "19;51"
64: "18;50"
65: "17;49"
66: "16;48"
67: "16;47"
68: "16;46"
69: "16;45"
70: "15;44"
71: "14;43"
72: "14;42"
73: "14;41"
74: "14;40"
75: "14;39"
76: "14;38"
77: "14;37"
78: "14;36"
79: "14;35"
80: "14;34"
81: "14;33"
82: "14;32"
83: "13;31"
84: "13;30"
85: "13;29"
86: "13;28"
87: "13;27"
88: "13;26"
89: "13;25"
90: "13;24"
91: "13;23"
92: "13;22"
93: "13;21"
94: "13;20"
95: "13;19"
96: "13;18"
97: "13;17"
98: "13;16"
99: "13;15"
100: "13;14"
101: "13;13"
102: "13;12"
103: "14;11"
104: "15;10"
105: "16;9"
106: "17;8"
107: "18;8"
108: "19;8"
109: "20;8"
110: "21;8"
111: "22;8"
112: "23;8"
113: "24;8"
114: "25;8"
115: "26;8"
116: "27;8"
117: "28;8"
118: "29;8"
119: "30;8"
120: "31;8"
121: "32;8"
122: "33;8"
123: "34;8"
124: "35;9"
125: "36;10"
126: "37;11"
127: "38;12"
128: "38;13"
129: "38;14"
130: "38;15"
131: "38;16"
132: "38;17"
133: "38;18"
134: "38;19"
135: "38;20"
136: "38;21"
137: "38;22"
138: "38;23"
139: "38;24"
140: "37;25"
141: "36;25"
142: "35;25"
143: "34;25"
144: "33;25"
145: "32;25"
